id,period,yield
170,200407,-0.06
170,200408,0.19
170,200409,0.59
170,200410,0.29
170,200411,0.89
170,200412,1.18
171,200401,0.61
171,200402,0.34
171,200403,0.57
171,200404,0.2
171,200405,1.3
171,200406,0.95
171,200407,0.12
171,200408,0.06
171,200409,0.74
171,200410,0.15
171,200411,0.66
171,200412,0.61
172,200401,0.44
172,200402,-0.68
172,200403,0.63
172,200404,-0.11
172,200405,1.13
172,200406,0.75
172,200407,0.1
172,200408,0.14
172,200409,0.87
172,200410,0.05
172,200411,0.45
172,200412,1.71
180,200401,-0.01
180,200402,0.17
180,200403,0.72
180,200404,0.05
180,200405,1.13
180,200406,1.28
180,200407,0.02
180,200408,0.37
180,200409,0.98
180,200410,0.46
180,200411,0.87
180,200412,0.9
209,200401,0.31
209,200402,0.18
209,200403,0.43
209,200404,0.55
209,200405,1.03
209,200406,0.99
209,200407,-0.06
209,200408,0.3
209,200409,0.8
209,200410,0.19
209,200411,0.85
209,200412,1.05
214,200401,0.53
214,200402,0.32
214,200403,0.69
214,200404,0.49
214,200405,1.06
214,200406,0.97
214,200407,0.1
214,200408,0.26
214,200409,0.74
214,200410,0.24
214,200411,0.83
214,200412,1.19
657,200401,1.18
657,200402,0.09
657,200403,0.81
657,200404,0.78
657,200405,0.48
657,200406,0.56
657,200407,0.0
657,200408,0.61
657,200409,0.67
657,200410,0.18
657,200411,0.43
657,200412,1.3
659,200401,0.0
659,200402,0.0
659,200403,0.0
659,200404,0.0
659,200405,1.3
659,200406,1.16
659,200407,-0.66
659,200408,0.43
659,200409,0.73
